#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
2.31770e+20	5.1229e+03	2.666e-22	1.0000e+01	1.0869e+01	9.7821e-19	8.0023e-05	9.9992e-01	1.1813e-03	9.9882e-01	3.1942e-16	1.4861e-25	3.5274e-07	2.0856e-02	9.7878e-01	3.6878e-04	9.9062e-06	2.2310e-01	7.7689e-01	1.1755e-36	1.1755e-36	1.1755e-36	3.3388e-35	0.00e+00	0.00e+00	1.0730e+00
2.48662e+20	5.2627e+03	2.613e-22	1.0000e+01	1.0868e+01	9.0761e-19	8.1589e-05	9.9992e-01	1.2989e-03	9.9870e-01	2.1401e-16	1.9525e-25	3.8707e-07	2.2642e-02	9.7710e-01	2.6040e-04	1.2052e-05	2.6450e-01	7.3549e-01	1.1755e-36	1.1755e-36	1.1755e-36	3.9895e-35	0.00e+00	0.00e+00	1.1551e+00
2.65631e+20	5.4398e+03	2.552e-22	1.0000e+01	1.0868e+01	8.3031e-19	8.3175e-05	9.9992e-01	1.4446e-03	9.9856e-01	1.4464e-16	2.6673e-25	4.2892e-07	2.4805e-02	9.7502e-01	1.7620e-04	1.4961e-05	3.1995e-01	6.8004e-01	1.1755e-36	1.1755e-36	1.1755e-36	5.0493e-35	0.00e+00	0.00e+00	1.2496e+00
2.82922e+20	5.6653e+03	2.480e-22	1.0000e+01	1.0867e+01	6.6674e-19	8.4370e-05	9.9992e-01	1.6286e-03	9.9837e-01	8.6068e-17	3.5879e-25	4.7808e-07	2.7396e-02	9.7249e-01	1.1385e-04	1.8884e-05	3.9498e-01	6.0500e-01	1.1755e-36	1.1755e-36	1.1755e-36	5.4598e-35	0.00e+00	0.00e+00	1.3379e+00
2.97462e+20	5.9021e+03	2.410e-22	1.0000e+01	1.0867e+01	5.6201e-19	8.4923e-05	9.9992e-01	1.8227e-03	9.9818e-01	5.3166e-17	4.8043e-25	5.2667e-07	3.0031e-02	9.6989e-01	7.5535e-05	2.3222e-05	4.7872e-01	5.2125e-01	1.1755e-36	1.1755e-36	1.1755e-36	6.6406e-35	0.00e+00	0.00e+00	1.4049e+00
3.08385e+20	6.1106e+03	2.353e-22	1.0000e+01	1.0866e+01	4.8336e-19	8.5116e-05	9.9991e-01	2.0034e-03	9.9800e-01	3.7146e-17	6.0390e-25	5.6979e-07	3.2390e-02	9.6756e-01	5.3601e-05	2.7184e-05	5.5542e-01	4.4456e-01	1.1755e-36	1.1755e-36	1.1755e-36	7.7588e-35	0.00e+00	0.00e+00	1.4552e+00
3.17166e+20	6.2903e+03	2.306e-22	1.0000e+01	1.0865e+01	4.2547e-19	8.5276e-05	9.9991e-01	2.1802e-03	9.9782e-01	2.7883e-17	7.2799e-25	6.1055e-07	3.4622e-02	9.6534e-01	3.9561e-05	3.0736e-05	6.2339e-01	3.7658e-01	1.1755e-36	1.1755e-36	1.1755e-36	8.7771e-35	0.00e+00	0.00e+00	1.4994e+00
3.25589e+20	6.4632e+03	2.264e-22	1.0000e+01	1.0865e+01	3.7917e-19	8.5546e-05	9.9991e-01	2.3870e-03	9.9761e-01	2.0748e-17	8.7271e-25	6.5679e-07	3.7144e-02	9.6283e-01	2.8765e-05	3.4333e-05	6.9063e-01	3.0934e-01	1.1755e-36	1.1755e-36	1.1755e-36	9.8917e-35	0.00e+00	0.00e+00	1.5460e+00
3.34743e+20	6.6419e+03	2.223e-22	1.0000e+01	1.0864e+01	3.3249e-19	8.6027e-05	9.9991e-01	2.6684e-03	9.9733e-01	1.4464e-17	1.0536e-24	7.1732e-07	4.0430e-02	9.5955e-01	1.9754e-05	3.8285e-05	7.6194e-01	2.3802e-01	1.1755e-36	1.1755e-36	1.1755e-36	1.0747e-34	0.00e+00	0.00e+00	1.5986e+00
3.44977e+20	6.8167e+03	2.187e-22	1.0000e+01	1.0863e+01	2.9571e-19	8.6902e-05	9.9991e-01	3.0856e-03	9.9691e-01	9.2770e-18	1.3002e-24	8.0237e-07	4.5011e-02	9.5498e-01	1.2518e-05	4.2527e-05	8.3386e-01	1.6610e-01	1.1755e-36	1.1755e-36	1.1755e-36	1.1703e-34	0.00e+00	0.00e+00	1.6578e+00
